,name,city,state,nirfRank,rank
1271,Government Degree College for Women (Hussainialam),Hyderabad,Telangana,nan,nan
1272,Government Degree College for Women (Sangareddy),Sangareddy,Telangana,nan,nan
1273,Government Degree College for Women (Siddipet),Siddipet,Telangana,nan,nan
1274,"Government Degree College for Women, Adilabad",Adilabad,Telangana,nan,nan
1275,"Government Degree College for Women, Guntur",Guntur,Andhra Pradesh,nan,nan
1276,"Government Degree College for Women, Jagtial",Jagtial,Telangana,nan,nan
1277,"Government Degree College for Women, Karimnagar",Karimnagar,Telangana,nan,nan
1278,"Government Degree College for Women, Madanapalle Urban",Madanapalle,Andhra Pradesh,nan,nan
1279,Government Degree College for women Sri kalahasthi Urban,Chittoor,Andhra Pradesh,nan,nan
1280,"Government Degree College, Alir",Yadadri Bhuvanagiri,Telangana,nan,nan
1281,"Government Degree College, Amarpur",Amarpur,Tripura,nan,nan
1282,"Government Degree College, Amarwara",Amarwara,Madhya Pradesh,nan,nan
1283,"Government Degree College, Avangadda",Avanigadda,Andhra Pradesh,nan,nan
1284,"Government Degree College, Banbasa",Champawat,Uttarakhand,nan,nan
1285,"Government Degree College, Banganapalli",Banaganapalle,Andhra Pradesh,nan,nan
1286,"Government Degree College, Bantumilli",Bantumilli,Andhra Pradesh,nan,nan
1287,"Government Degree College, Bellampally",Bellampally,Telangana,nan,nan
1288,"Government Degree College, Bhua Bichhiya, Mandla",BHUABICHHIYA,Madhya Pradesh,nan,nan
1289,"Government Degree College, Bhupalpally",Bhoopalpalli,Telangana,nan,nan
1290,"Government Degree College, Bichhua",Chhindwara,Madhya Pradesh,nan,nan
1291,"Government Degree College, Bodhan (5007)",Bodhan,Telangana,nan,nan
1292,"Government Degree College, Chebrole",Chebrole,Andhra Pradesh,nan,nan
1293,"Government Degree College, Cheepurupalli",Vizianagaram,Andhra Pradesh,nan,nan
1294,"Government Degree College, Chintapalli",Visakhapatnam,Andhra Pradesh,nan,nan
1295,"Government Degree College, Chinyalisaur",chinyalisaur,Uttarakhand,nan,nan
1296,"Government Degree College, Cumbum",Cumbum,Andhra Pradesh,nan,nan
1297,"Government Degree College, Devidhura",Champawat,Uttarakhand,nan,nan
1298,"Government Degree College, Dharmanagar",Dharmanagar,Tripura,nan,nan
1299,"Government Degree College, Dharpally",Nizamabad,Telangana,nan,nan
1300,"Government Degree College, Eluru",Eluru,Andhra Pradesh,nan,nan
