,Unnamed: 0,name,city,state,nirf_rank,ranked,rank,nirfRank
212,1997,"Anwarul Uloom College (Autonomous), Hyderabad",Hyderabad,Telangana,,,,
213,1998,Apeejay College of Fine Arts Jalandhar,Jalandhar,Punjab,,,,
214,6,Apeejay Institute of Technology-School of Architecture & Planning,Greater Noida,Uttar Pradesh,,,,
215,1403,Apeejay School of Management,Delhi,Delhi,,,,
216,1999,Appex Institute of Computer and Management Studies,Aurangabad,Maharashtra,,,,
217,2001,Aquinas College,Ernakulam,Kerala,,,,
218,167,Arasu Engineering College,Thanjavur,Tamil Nadu,,,,
219,168,"Aravali Institute of Technical Studies,Udaipur",Udaipur,Rajasthan,,,,
220,2002,"Arcot Sri Mahalakshmi Women`s College, Arni M, Villapakkam",Ranipet,Tamil Nadu,,,,
221,2003,Arignar Anna College (Arts & Science),Krishnagiri,Tamil Nadu,,,,
222,2004,Arignar Anna Government Arts College for Women,Walajapet,Tamil Nadu,,,,
223,2005,"Arignar Anna Government Arts College, Namakkal",Namakkal,Tamil Nadu,,,,
224,2006,"Arignar Anna Government Arts College, Villupuram",Viluppuram,Tamil Nadu,,,,
225,1404,Aristotle P.G.College,Hyderabad,Telangana,,,,
226,169,Arjun College of Technology,COIMBATORE,Tamil Nadu,,,,
227,4192,Army College of Dental Sciences,Secunderabd,Telangana,,,,
228,2007,"Army Institute of Fashion & Design, Old Madras Road, Bangalore",Bengaluru,Karnataka,,,,
229,4331,"Army Institute of Law, Mohali",Mohali,Punjab,,,,
230,170,Army Institute of Technology,Pune,Maharashtra,,,,
231,2008,"Arts & Commerce College, Kasegaon",Sangli,Maharashtra,,,,
232,2009,"Arts & Commerce College, Nagthane",Satara,Maharashtra,,,,
233,2012,"Arts Science and Commerce College, Chikhaldara",Chikhaldara,Maharashtra,,,,
234,2010,"Arts and Commerce College, 51, Yadogopal Peth",Satara,Maharashtra,,,,
235,2011,"Arts and Science College, Pulgaon",Wardha,Maharashtra,,,,
236,2013,"Arts, Commerce & Science College",Pusegaon,Maharashtra,,,,
237,2015,"Arts, Commerce & Science College, Palus",Sangli,Maharashtra,,,,
238,2016,"Arts, Commerce and Science College, Bodwad",Bodwad,Maharashtra,,,,
239,2017,"Arts, Science & Commerce College, Ramanandnagar (Burli)",Kirloskarwadi,Maharashtra,,,,
240,2018,Arul Anandar College,Madurai,Tamil Nadu,,,,
241,2019,"Arulmigu Palaniandavar Arts College for Women, Palani",Dindigul,Tamil Nadu,,,,
242,2020,"Arumugam Pillai Seethaiammal College, Tiruppathur",Tirupathur,Tamil Nadu,,,,
243,171,Arunachala College of Engineering for Women,Kanniyakumari,Tamil Nadu,,,,
244,172,Arunai Engineering College,Tiruvannamalai,Tamil Nadu,,,,
245,2021,Arunodaya Dnyan Prasarak Mandal's,Jalgaon,Maharashtra,,,,
246,2022,Arya College,Panipat,Haryana,,,,
247,173,"Arya College of Engineering & Information Technology, Jaipur",Jaipur,Rajasthan,,,,
248,174,"Arya College of Engineering & Research Center, Jaipur",Jaipur,Rajasthan,,,,
249,2023,Arya Kanya Degree College,Prayagraj,Uttar Pradesh,,,,
250,2024,Arya Mahila Post Graduate College,Varanasi,Uttar Pradesh,,,,
251,2025,Arya Vidyapeeth College,Guwahati,Assam,,,,
252,2026,Aryabhatta College,Delhi,Delhi,,,,
253,175,Asansol Engineering College,Asansol,West Bengal,,,,
254,2027,Ashok & Rita Patel Institute of Integrated Study & Research In Biotechnology and Allied Sciences (ARIBAS),Vithal Udyognagar,Gujarat,,,,
255,2028,"Ashok Gramin Shikshan Sansthas Arts, Commerce & Science College, Ashoknagar, Ahmednagar",Shrirampur,Maharashtra,,,,
256,1405,"Ashoka Education Foundations Ashoka Business School,Nashik",Nashik,Maharashtra,,,,
257,2029,"Ashoka Education Foundations Ashoka Centre for Business & Computer Studies, Nashik",Nashik,Maharashtra,,,,
258,5310,Ashoka University,Sonepat,Haryana,,,88.0,
259,176,Asia Pacific Institute of Information Technology,Panipat,Haryana,,,,
260,2030,"Asian Academy of Education & Research, Asian College of Science & Commerce, Pune",Pune,Maharashtra,,,,
261,1407,Asian Business School,Noida,Uttar Pradesh,,,,
262,4332,Asian Law College,Noida,Uttar Pradesh,,,,
263,1408,Assam Don Bosco University,Azara,Assam,,,,
264,1409,Assam Down Town University,Guwahati,Assam,,,,
265,2031,Assumption College,Kottayam,Kerala,,,,
266,2032,Asutosh College,Kolkata,West Bengal,,,,
267,5085,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,,,,,,64.0
268,2033,Atchuta Degree College,Atchutapuram,Andhra Pradesh,,,,
269,180,Atharva College of Engineering,Mumbai Suburban,Maharashtra,,,,
270,1411,Atharva Educational Trust Atharva Institute of Management Studies,Mumbai,Maharashtra,,,,
271,2034,Atma Ram Sanatan Dharm College,New Delhi,Delhi,,,,
