,name,city,state,nirf_rank,ranked,rank,nirfRank
4049,The Kelkar Education Trust`s Vinayak Ganesh Vaze College of Arts Science and Commerce,Mumbai,Maharashtra,,nan,nan,nan
4050,The KNSB LTD Arts & Commerce College Kheralu,KHERALU PIN-384325,Gujarat,,nan,nan,nan
4051,"The M.D.T. Hindu College, Pettai, Tirunelveli",Tirunelveli,Tamil Nadu,,nan,nan,nan
4052,The New College,Kolhapur,Maharashtra,,nan,nan,nan
4053,The Oxford College of Science,Bengaluru,Karnataka,,nan,nan,nan
4054,"The Poona Gujrati Kelwani Mandals H.V.Desai Senior College of Arts, Science & Commerce",Pune,Maharashtra,,nan,nan,nan
4055,The Quaid-E-Milleth College for Men,Chennai,Tamil Nadu,,nan,nan,nan
4056,The Standard Fireworks Rajaratnam College for Women,Sivakasi,Tamil Nadu,,nan,nan,nan
4057,Thevanai Ammal College for Women (Autonomous),Villupuram,Tamil Nadu,,nan,nan,nan
4058,Thiagarajar College,Madurai,Tamil Nadu,,nan,nan,nan
4059,Thiravium College of Arts and Science for Women,Periyakulam,Tamil Nadu,,nan,nan,nan
4060,Thiru Kolanchiyappar Government Arts College,Cuddalore,Tamil Nadu,,nan,nan,nan
4061,Thiru. A.Govindasamy Government Arts College,Tindivanam,Tamil Nadu,,nan,nan,nan
4062,Thiruthangal Nadar College,CHENNAI -51,Tamil Nadu,,nan,nan,nan
4063,Thiruvalluvar Government Arts College,Namakkal,Tamil Nadu,,nan,nan,nan
4064,"Thiruvalluvar Univeristy, Vellore",Vellore,Tamil Nadu,,nan,nan,nan
4065,Thoubal College,Thoubal,Manipur,,nan,nan,nan
4066,"Thunchan Memorial Government College, Tirur",Malappuram,Kerala,,nan,nan,nan
4067,Tinsukia Commerce College,Tinsukia,Assam,,nan,nan,nan
4068,"Tirunelveli Dakshina Mara Nadar Sangam College, Tirunelveli Dist",Tirunelveli,Tamil Nadu,,nan,nan,nan
4069,Tirupur Kumaran College for Women,Tiruppur,Tamil Nadu,,nan,nan,nan
4070,Tolani College of Arts & Science,"Adipur, Taluka- Gandhidham",Gujarat,,nan,nan,nan
4071,"Tolani College of Commerce, Andheri E Mumbai","Andheri (East), Mumbai",Maharashtra,,nan,nan,nan
4072,Tolani Commerce College,Adipur,Gujarat,,nan,nan,nan
4073,Tolani Institute of Commerce,"Adipur , Ta: Gandhidham",Gujarat,,nan,nan,nan
4074,"Toshniwal Arts, Commerce & Science College",Sengaon,Maharashtra,,nan,nan,nan
4075,Trinity College for Women,Namakkal,Tamil Nadu,,nan,nan,nan
4076,Trinity Institute of Professional Studies,West,Delhi,,nan,nan,nan
4077,TSR & TBK Degree College,Gajuwaka,Andhra Pradesh,,nan,nan,nan
4078,Tukaram Krishnaji Kolekar Arts and Commerce College,Kolhapur,Maharashtra,,nan,nan,nan
4079,"Tuljaram Chaturchand College, Baramati, Dist.Pune",Pune,Maharashtra,,nan,nan,nan
4080,"Tunga Mahavidyalaya, Anandagiri, Thirthahalli",Shimoga,Karnataka,,nan,nan,nan
4081,Udaynarayanpur Madhabilata Mahavidyalaya,Haora,West Bengal,,nan,nan,nan
4082,"Umiya (Shri M. P. & B. A. Patel, Detrojwala) Arts & Commerce College for Girls",Ahmedabad,Gujarat,,nan,nan,nan
4083,Union Christian College,Ernakulam,Kerala,,nan,nan,nan
4084,United College,Chandel,Manipur,,nan,nan,nan
4085,United Mission Degree College,Bengaluru,Karnataka,,nan,nan,nan
4086,Unity College,Dimapur,Nagaland,,nan,nan,nan
4087,University College,Mangaluru,Karnataka,,nan,nan,nan
4088,"University College for Women, Koti",Hyderabad,Telangana,,nan,nan,nan
4089,"University College, Thiruvananthapuram",Thiruvananthapuram,Kerala,,nan,nan,nan
4090,Urumu Dhanalakshmi College,Tiruchirappalli,Tamil Nadu,,nan,nan,nan
4091,Ushodaya Degree College,Visakhapatnam,Andhra Pradesh,,nan,nan,nan
4092,"V K Krishna Menon College of Commerce and Economics Sharad Shankar Dighe College of Science, East Mumbai",Mumbai,Maharashtra,,nan,nan,nan
4093,"V. G. Shivdare College of Arts, Commerce and Science, Solapur",Solapur,Maharashtra,,nan,nan,nan
4094,V. S. K. Degree College,Bhimavaram,Andhra Pradesh,,nan,nan,nan
4095,V.E.T First Grade College,Bengaluru,Karnataka,,nan,nan,nan
4096,V.K.V.Government Degree College,Kothapeta,Andhra Pradesh,,nan,nan,nan
4097,V.O. Chidambaram College,Tuticorin,Tamil Nadu,,nan,nan,nan
4098,V.S.R. Government Degree College,Movva,Andhra Pradesh,,nan,nan,nan
4099,V.V. Giri Government Kalasala,Dumpagadapa,Andhra Pradesh,,nan,nan,nan
4100,V.V. Vanniaperumal College for Women,Virudhunagar,Tamil Nadu,,nan,nan,nan
4101,V.V.N Degree College,Bangalore,Karnataka,,nan,nan,nan
4102,"Vaidyanath College of Arts, Science & Commerce, Parli-Vaijnath",Parli-Vaijnath,Maharashtra,,nan,nan,nan
4103,Valliammal College for Women,Chennai,Tamil Nadu,,nan,nan,nan
4104,"Vasanta Collge, Rajghat",Varanasi,Uttar Pradesh,,nan,nan,nan
4105,Vasantrao Naik Arts and Social Science Institute,Nagpur,Maharashtra,,nan,nan,nan
4106,"VBES`s Sant Muktabai Arts & Commerce College, Mutainagar",Muktainagar,Maharashtra,,nan,nan,nan
4107,VDA Degree College,Visakhapatnam,Andhra Pradesh,,nan,nan,nan
4108,"Vedavati Government First Grade College, Hiryuru.",Chitradurga,Karnataka,,nan,nan,nan
4109,"Veer Shaheed Kesari Chand Rajkiya Snatkottar Mahavidyalaya, Dakpathar, Vikas Nagar",VIKASNAGAR,Uttarakhand,,nan,nan,nan
4110,Veer Wajekar Arts Science and Commerce College,Raigarh,Maharashtra,,nan,nan,nan
4111,Veerangana Jhalkari Bai Government Girls College,GWALIOR,Madhya Pradesh,,nan,nan,nan
4112,Vel Tech Ranga Sanku Arts College,Thiruvallur,Tamil Nadu,,nan,nan,nan
4113,Vellalar College for Women,Erode,Tamil Nadu,,nan,nan,nan
4114,Vidhya Sagar Womens College,Chengalpattu,Tamil Nadu,,nan,nan,nan
4115,Vidya Prasarak Mandals K G Joshi College of Arts & N G Bedekar College of Commerce Chendani Bunder Road Thane,Thane,Maharashtra,,nan,nan,nan
4116,"Vidyabharati Mahavidyalaya, Amravati",Amravati,Maharashtra,,nan,nan,nan
4117,"Vidyabharti College, Selu",Wardha,Maharashtra,,nan,nan,nan
4118,Vidyalankar Danyanpeeth Trust College of B Sc I T Wadala Mumbai,Mumbai,Maharashtra,,nan,nan,nan
4119,"Vidyayan Mahavidyalaya Sangola, Dist.-Solapur",Solapur,Maharashtra,,nan,nan,nan
4120,Vijaygarh Jyotish Roy College,Kolkata,West Bengal,,nan,nan,nan
4121,"Vimala College, Thrissur",Thrissur,Kerala,,nan,nan,nan
4122,"Vinayak College, Kalan",SHEOPUR,Madhya Pradesh,,nan,nan,nan
4123,"Vinayakrao Patil Arts, Commerce & Science Mahavidyalaya",Aurangabad,Maharashtra,,nan,nan,nan
4124,Vinex Degree College,Visakhapatnam,Andhra Pradesh,,nan,nan,nan
4125,Virudhunagar Hindu Nadars Senthikumara Nadar College,Virudhunagar,Tamil Nadu,,nan,nan,nan
4126,Visakha Government Degree College for Women,Visakhapatnam,Andhra Pradesh,,nan,nan,nan
4127,"Vishwasrao Naik Arts, Commerce & Baba Naik Science Mahavidyalaya, Shirala",Shirala,Maharashtra,,nan,nan,nan
4128,"Visovadaya Government Degree College, Venkatagiri",Sri Potti Sriramulu Nellore,Andhra Pradesh,,nan,nan,nan
4129,"Visthapit College, Balidih",BOKARO,Jharkhand,,nan,nan,nan
4130,"Vitthalbhai Patel and Rajrathan, P.T. Patel Science College",Anand,Gujarat,,nan,nan,nan
4131,Vivek Education Society Vivek College of Commerce,Mumbai,Maharashtra,,nan,nan,nan
4132,Vivekanand Arts Commerce College,Bhadrawati,Maharashtra,,nan,nan,nan
4133,"Vivekanand Arts, Sardar Dalip Singh Commerce & Science College",Aurangabad,Maharashtra,,nan,nan,nan
4134,Vivekanand College,Kolhapur,Maharashtra,,nan,nan,nan
4135,"Vivekanand Education Society`s College of Arts, Science and Commerce",Mumbai,Maharashtra,,nan,nan,nan
4136,Vivekananda College,Kanniyakumari,Tamil Nadu,,nan,nan,nan
4137,Vivekananda College,Madurai,Tamil Nadu,,nan,nan,nan
4138,Vivekananda College,Kolkata-,West Bengal,,nan,nan,nan
4139,Vivekananda College,Kolkata,West Bengal,,nan,nan,nan
4140,"Vivekananda College of Arts Science and Commerce, Rajajinagar II",Bangalore,Karnataka,,nan,nan,nan
4141,"Vivekananda College, Jalpaiguri",ALIPURDUAR,West Bengal,,nan,nan,nan
4142,Vivekananda Government Degree College,Hyderabad,Telangana,,nan,nan,nan
4143,"Vivekananda Mahavidyalaya, Burdwan",BURDWAN,West Bengal,,nan,nan,nan
4144,"Vivekananda Mahavidyalaya, Haripal",Hooghly,West Bengal,,nan,nan,nan
4145,Vivekananda Mission Mahavidyalaya,Purba Medinipur,West Bengal,,nan,nan,nan
4146,Vivekanandha College for Women,Namakkal,Tamil Nadu,,nan,nan,nan
4147,Vivekanandha College of Arts & Science (W),Namakkal,Tamil Nadu,,nan,nan,nan
4148,VLB Janaki Ammal College of Arts and Science,Coimbatore,Tamil Nadu,,nan,nan,nan
4149,"VMK SRV Arts/Science & VSB Commerce College, Hunagund",Bagalkot,Karnataka,,nan,nan,nan
4150,"VMV Commerce JMT Arts JJP Science College, Wardhaman Nagar",Nagpur,Maharashtra,,nan,nan,nan
4151,Voorhees College,Vellore,Tamil Nadu,,nan,nan,nan
4152,"VTM NSS College, Dhanuvachapuram",Thiruvananthapuram,Kerala,,nan,nan,nan
4153,Vvrl Kanaka Mahalakshmi Degree College,Visakhapatnam,Andhra Pradesh,,nan,nan,nan
4154,Willingdon College,Sangli,Maharashtra,,nan,nan,nan
4155,Wilson College Chowpatty Mumbai,Mumbai,Maharashtra,,nan,nan,nan
4156,"WMO Arts & Science College, Muttil",Wayanad,Kerala,,nan,nan,nan
4157,Women`s Christian College,Chennai,Tamil Nadu,,nan,nan,nan
4158,"Women`s Christian College, Nagercoil",Nagercoil,Tamil Nadu,,nan,nan,nan
4159,Women`s College,Tinsukia,Assam,,nan,nan,nan
4160,Women's College,Agartala,Tripura,,nan,nan,nan
4161,"Womens College, Ramgarh",Ramgarh,Jharkhand,,nan,nan,nan
4162,X.I.T.E Gamharia Seraikela Kharsawan,Gamharia,Jharkhand,,nan,nan,nan
4163,Y. A. Government College for Women,Chirala,Andhra Pradesh,,nan,nan,nan
4164,"Y.D.V.D. Arts, Commerce College Teosa",Teosa,Maharashtra,,nan,nan,nan
4165,Y.K. College,Thoubal,Manipur,,nan,nan,nan
4166,"Y.S.N.M.College,Medininnagar",Medininagar,Jharkhand,,nan,nan,nan
4167,"Y.V.N.R Government Degree College, Kaikaluru",Kaikaluru,Andhra Pradesh,,nan,nan,nan
4168,Yadaorao Poshattiwar Arts College,Talodhi (Ba.),Maharashtra,,nan,nan,nan
4169,"Yashoda Girls Arts Commerce College, Somalwada",Nagpur,Maharashtra,,nan,nan,nan
4170,"Yashwantrao Chavan Institute of Science, Satara",Satara,Maharashtra,,nan,nan,nan
4171,Yashwantrao Chavan Mahavidyalaya,Kolhapur,Maharashtra,,nan,nan,nan
4172,"Yashwantrao Chavan Mahavidyalaya, Pachawad",Satara,Maharashtra,,nan,nan,nan
4173,Yashwantrao Chavan Warana Mahavidyalaya,Kolhapur,Maharashtra,,nan,nan,nan
4174,"Yashwantrao Mohite College of Arts, Science and Commerce",Pune,Maharashtra,,nan,nan,nan
