name,city,state,nirfRank,rank
"Aravali Institute of Technical Studies,Udaipur",Udaipur,Rajasthan,nan,nan
"Arcot Sri Mahalakshmi Women`s College, Arni M, Villapakkam",Ranipet,Tamil Nadu,nan,nan
Arignar Anna College (Arts & Science),Krishnagiri,Tamil Nadu,nan,nan
Arignar Anna Government Arts College for Women,Walajapet,Tamil Nadu,nan,nan
"Arignar Anna Government Arts College, Namakkal",Namakkal,Tamil Nadu,nan,nan
"Arignar Anna Government Arts College, Villupuram",Viluppuram,Tamil Nadu,nan,nan
Aristotle P.G.College,Hyderabad,Telangana,nan,nan
Arjun College of Technology,COIMBATORE,Tamil Nadu,nan,nan
Army College of Dental Sciences,Secunderabd,Telangana,nan,nan
"Army Institute of Fashion & Design, Old Madras Road, Bangalore",Bengaluru,Karnataka,nan,nan
"Army Institute of Law, Mohali",Mohali,Punjab,26,nan
Army Institute of Technology,Pune,Maharashtra,172,nan
"Arts & Commerce College, Kasegaon",Sangli,Maharashtra,nan,nan
"Arts & Commerce College, Nagthane",Satara,Maharashtra,nan,nan
"Arts Science and Commerce College, Chikhaldara",Chikhaldara,Maharashtra,nan,nan
"Arts and Commerce College, 51, Yadogopal Peth",Satara,Maharashtra,nan,nan
"Arts and Science College, Pulgaon",Wardha,Maharashtra,nan,nan
"Arts, Commerce & Science College",Kolhapur,Maharashtra,nan,nan
"Arts, Commerce & Science College",Pusegaon,Maharashtra,nan,nan
"Arts, Commerce & Science College, Palus",Sangli,Maharashtra,nan,nan
"Arts, Commerce and Science College, Bodwad",Bodwad,Maharashtra,nan,nan
"Arts, Science & Commerce College, Ramanandnagar (Burli)",Kirloskarwadi,Maharashtra,nan,nan
Arul Anandar College,Madurai,Tamil Nadu,nan,nan
"Arulmigu Palaniandavar Arts College for Women, Palani",Dindigul,Tamil Nadu,nan,nan
"Arumugam Pillai Seethaiammal College, Tiruppathur",Tirupathur,Tamil Nadu,nan,nan
Arunachala College of Engineering for Women,Kanniyakumari,Tamil Nadu,nan,nan
Arunai Engineering College,Tiruvannamalai,Tamil Nadu,nan,nan
Arunodaya Dnyan Prasarak Mandal's,Jalgaon,Maharashtra,nan,nan
Arya College,Panipat,Haryana,nan,nan
"Arya College of Engineering & Information Technology, Jaipur",Jaipur,Rajasthan,nan,nan
"Arya College of Engineering & Research Center, Jaipur",Jaipur,Rajasthan,nan,nan
Arya Kanya Degree College,Prayagraj,Uttar Pradesh,nan,nan
Arya Mahila Post Graduate College,Varanasi,Uttar Pradesh,nan,nan
Arya Vidyapeeth College,Guwahati,Assam,nan,nan
Aryabhatta College,Delhi,Delhi,nan,nan
Asansol Engineering College,Asansol,West Bengal,nan,nan
Ashok & Rita Patel Institute of Integrated Study & Research In Biotechnology and Allied Sciences (ARIBAS),Vithal Udyognagar,Gujarat,nan,nan
"Ashok Gramin Shikshan Sansthas Arts, Commerce & Science College, Ashoknagar, Ahmednagar",Shrirampur,Maharashtra,nan,nan
"Ashoka Education Foundations Ashoka Business School,Nashik",Nashik,Maharashtra,nan,nan
"Ashoka Education Foundations Ashoka Centre for Business & Computer Studies, Nashik",Nashik,Maharashtra,nan,nan
Ashoka University,Sonepat,Haryana,nan,88
Asia Pacific Institute of Information Technology,Panipat,Haryana,nan,nan
"Asian Academy of Education & Research, Asian College of Science & Commerce, Pune",Pune,Maharashtra,nan,nan
Asian Business School,Noida,Uttar Pradesh,nan,nan
Asian Law College,Noida,Uttar Pradesh,nan,nan
Assam Don Bosco University,Azara,Assam,nan,nan
Assam Down Town University,Guwahati,Assam,nan,nan
Assumption College,Kottayam,Kerala,nan,nan
Asutosh College,Kolkata,West Bengal,nan,nan
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,nan,nan,64,nan
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh,78,nan
Atchuta Degree College,Atchutapuram,Andhra Pradesh,nan,nan
Atharva College of Engineering,Mumbai Suburban,Maharashtra,nan,nan
Atharva Educational Trust Atharva Institute of Management Studies,Mumbai,Maharashtra,nan,nan
Atma Ram Sanatan Dharm College,New Delhi,Delhi,nan,nan
Atria Institute of Technology,Bengaluru,Karnataka,nan,nan
Audisankara College of Engineering & Technology,Gudur,Andhra Pradesh,nan,nan
"Audyogik Tantra Shikshan Sansthas ATSS College of Business Studies & Computer Application, Pune",Pune,Maharashtra,nan,nan
"Audyogik Tantra Shikshan Sansthas Institute of Industrial and Computer Management and Research, Pune",Pune,Maharashtra,nan,nan
Aurora's Technological And Research Institute,Hyderabad,Telangana,nan,nan
Aurora`s P. G. College (MBA),Hyderabad,Telangana,nan,nan
"Aurora`s P. G. College (MBA), Ramanthapur",Hyderabad,Telangana,nan,nan
Aurora`s P. G. College (MCA),Hyderabad,Telangana,nan,nan
"Aurora`s P. G. College (MCA), Ramanthapur",Hyderabad,Telangana,nan,nan
Aurora`s Scientific & Technological Institute,Hyderabad,Telangana,nan,nan
Auroras Degree College,Hyderabad,Telangana,nan,nan
Auxilium College,Vellore,Tamil Nadu,nan,nan
Avinashilingam Institute for Home Science & Higher Education for Women,Coimbatore,Tamil Nadu,nan,84
Avvaiyar Government College for Women,Karaikal,Pondicherry,nan,nan
"Awadesh Pratap Singh University, Rewa",Rewa,Madhya Pradesh,nan,nan
Ayya Nadar Janaki Ammal College,Sivakasi,Tamil Nadu,nan,nan
Ayyanna Degree College,K.KOTAPADU,Andhra Pradesh,nan,nan
"Azad Institute of Engineering and Technology, Lucknow",Lucknow,Uttar Pradesh,nan,nan
"Azad Mahavidyalaya, Ausa",Latur,Maharashtra,nan,nan
B I T Sind,Dhanbad,Jharkhand,255,nan
B I T Sindri,Dhanbad,Jharkhand,nan,nan
"B J Azad College, Dumka",JAMTARA,Jharkhand,nan,nan
B N College Of Engineering And Technology Lucknow,Lucknow,Uttar Pradesh,nan,nan
"B N Patel Institute of Paramedical and Science, Anand",Anand,Gujarat,nan,nan
"B S K College, Sahibaganj",BARHARWA,Jharkhand,nan,nan
B. Borooah College,Kamrup,Assam,nan,nan
